CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
200014666,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1600 BLOCK PLYMOUTH RD,ANN ARBOR,2020-05-02 23:45:00,LARCENY - ALL OTHER,-83.72462479999996,42.29979250000008
200014666,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,1600 BLOCK PLYMOUTH RD,ANN ARBOR,2020-05-02 23:45:00,DAMAGE TO PROPERTY,-83.72462479999996,42.29979250000008
200014715,ALL OTHER,5560,DOG LAW VIOLATIONS,B,2100 BLOCK INDEPENDENCE BLVD,ANN ARBOR,2020-05-04 16:10:00,HEALTH AND SAFETY,-83.71644739999994,42.253278299000044
201000173,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,"800 BLOCK BROWN STREET, APARTMENT 4",ANN ARBOR,2020-04-27 06:00:00,LARCENY - ALL OTHER,-83.74892229899996,42.27145549900007
200014703,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,300 BLOCK E HURON ST,ANN ARBOR,2020-05-02 16:15:00,MOTOR VEHICLE THEFT / FRAUD,-83.74419219999999,42.28163090000004
200014672,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,3100 BLOCK BOARDWALK DR,ANN ARBOR,2020-05-04 02:00:00,LARCENY - ALL OTHER,-83.73394239999999,42.241743701000075
200014675,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,1600 BLOCK DURANGO DR,ANN ARBOR,2020-05-04 10:23:00,FRAUD,-83.78067559899995,42.26187440000007
200014729,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,900 BLOCK W EISENHOWER PKWY,ANN ARBOR,2020-05-04 18:53:30,ASSAULT - SIMPLE,-83.75897199999997,42.245618800000045
200014744,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,200 BLOCK W WILLIAM ST,ANN ARBOR,2020-05-04 21:55:00,ASSAULT - SIMPLE,-83.75031659999996,42.278121501000044
200014705,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,2900 BLOCK CASCADE DR,ANN ARBOR,2020-05-01 15:00:00,FRAUD,-83.70040559999995,42.246196300000065
200014749,RUNAWAY,7070,RUNAWAY,B,2400 BLOCK ARROWWOOD TRL,ANN ARBOR,2020-05-04 15:00:00,MISSING PERSON / RUNAWAY,-83.73218009999994,42.30883890000007
200014692,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,1500 BLOCK MARTHA AVE,ANN ARBOR,2020-05-04 13:01:00,FRAUD,-83.76595189999995,42.26637880000004
200014701,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1900 BLOCK CAMBRIDGE RD,ANN ARBOR,2020-05-04 05:05:00,LARCENY - FROM AUTO (LFA),-83.72410589899994,42.273475501000064
201000174,ALL OTHER,5309,HARASSING COMMUNICATIONS,B,600 BLOCK WEST HURON STREET APT 120,ANN ARBOR,2020-04-30 11:55:00,PUBLIC PEACE,-83.75506259899998,42.28199340000003
200014822,LIQUOR LAW VIOLATION,4104,POSSESSION OF ALCOHOLIC LIQUOR IN A MOTOR VEHICLE,B,PLYMOUTH RD & NIXON RD,ANN ARBOR,2020-05-05 23:55:00,LIQUOR LAW VIOLATION,-83.70723949899997,42.30252290000004
200014795,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,300 BLOCK W HURON ST,ANN ARBOR,2020-05-05 03:00:00,LARCENY - ALL OTHER,-83.75166069999995,42.28180800000007
200014716,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,2300 BLOCK ARROWWOOD TRL,ANN ARBOR,2020-04-29 18:24:00,FRAUD,-83.73442639999996,42.30760070000008
200014840,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,300 BLOCK W HURON ST,ANN ARBOR,2020-05-06 09:26:00,FRAUD,-83.75166069999995,42.28180800000007
200014790,COUNTERFEITING/FORGERY,2501,FORGERY OF CHECKS,A,2300 BLOCK E STADIUM BLVD,ANN ARBOR,2020-05-05 15:43:00,FORGERY / COUNTERFEITING,-83.71516049899998,42.26065170000004
200014774,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,1500 BLOCK MOREHEAD DR,ANN ARBOR,2020-05-01 12:00:00,FRAUD,-83.76678149999998,42.25284050000005
200014767,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,300 BLOCK PACKARD ST,ANN ARBOR,2020-05-05 01:30:00,LARCENY - FROM AUTO (LFA),-83.74591309999994,42.27560710000006
200014782,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,500 BLOCK LAMBETH DR,ANN ARBOR,2020-05-05 03:30:00,LARCENY - FROM AUTO (LFA),-83.75624499999998,42.254493000000025
200014847,RUNAWAY,7070,RUNAWAY,B,600 BLOCK N MAPLE RD,ANN ARBOR,2020-05-06 12:15:00,MISSING PERSON / RUNAWAY,-83.78085739999995,42.28709240000006
200014844,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,400 BLOCK S MAPLE RD,ANN ARBOR,2020-05-06 11:04:00,TRESPASSING / INVASION OF PRIVACY,-83.78214749999995,42.277596800000026
200014893,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,600 BLOCK CHURCH ST,ANN ARBOR,2020-05-06 17:15:00,LARCENY - ALL OTHER,-83.73425359899994,42.27393470000004
200014874,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,2600 BLOCK PLYMOUTH RD,ANN ARBOR,2020-05-06 17:15:00,LARCENY - ALL OTHER,-83.70911999999998,42.30459750000006
200014910,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,1500 BLOCK E MEDICAL CENTER DR,ANN ARBOR,2020-05-07 03:29:00,OBSTRUCTING JUSTICE,-83.73336229999995,42.28490960000005
200014903,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,0 BLOCK ROCKLAND CT,ANN ARBOR,2020-05-06 23:49:00,OBSTRUCTING JUSTICE,-83.71188089999998,42.23660170000005
200014918,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,400 BLOCK S MAIN ST,ANN ARBOR,2020-05-07 03:30:00,BURGLARY - ALL OTHER,-83.74904109999994,42.27779280000004
200014930,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,S FOURTH AVE & E WASHINGTON ST,ANN ARBOR,2020-05-07 11:42:00,OBSTRUCTING JUSTICE,-83.74729949999994,42.28045690000005
200014952,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,BROADWAY ST & JONES DR,ANN ARBOR,2020-05-07 15:13:30,ASSAULT - SIMPLE,-83.73499659999999,42.291393001000074
200014986,ALL OTHER,3805,CONTRIBUTE TO DELINQUENCY OF MINOR (EXCEPT ALCOHOL),B,2900 BLOCK EXMOOR RD,ANN ARBOR,2020-05-07 17:00:00,FAMILY OFFENSE,-83.70102360099997,42.26100770100004
200015022,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,1500 BLOCK CHARLTON AVE,ANN ARBOR,2020-05-08 10:15:00,FRAUD,-83.76653259899996,42.27895460000008
200015014,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,200 BLOCK S FIRST ST,ANN ARBOR,2020-05-07 03:15:00,LARCENY - ALL OTHER,-83.75070639999996,42.28026020100003
200014935,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,1400 BLOCK MILLER AVE,ANN ARBOR,2020-05-07 12:25:00,PUBLIC PEACE,-83.76549469899999,42.28875689900008
200015002,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,900 BLOCK SYLVAN AVE,ANN ARBOR,2020-05-08 00:05:00,ASSAULT - SIMPLE,-83.73732459999997,42.26639169900005
200014928,ALL OTHER LARCENY,2309,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING),A,100 BLOCK W WILLIAM ST,ANN ARBOR,2020-05-06 19:01:00,LARCENY - ALL OTHER,-83.74950319899995,42.277548000000024
200015010,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,3200 BLOCK COLUMBUS CT,ANN ARBOR,2020-05-08 01:55:00,MOTOR VEHICLE THEFT / FRAUD,-83.79709739999998,42.28920380000005
200015058,INTIMIDATION,1380,"TELEPHONE USED FOR HARASSMENT, THREATS",A,2400 BLOCK PARKWOOD AVE,ANN ARBOR,2020-05-08 23:28:00,INTIMIDATION / STALKING,-83.69527250099998,42.25188570000006
200015057,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,500 BLOCK S DIVISION ST,ANN ARBOR,2020-05-08 23:00:00,ASSAULT - AGGRAVATED,-83.74454290099999,42.27550910000008
200015067,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,3500 BLOCK STONE SCHOOL RD,ANN ARBOR,2020-05-09 05:15:00,ASSAULT - AGGRAVATED,-83.71934649999997,42.23691980000007
200015111,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,3500 BLOCK STONE SCHOOL RD,ANN ARBOR,2020-05-09 06:15:00,TRESPASSING / INVASION OF PRIVACY,-83.71934649999997,42.23691980000007
200015078,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,2000 BLOCK FERDON RD,ANN ARBOR,2020-05-01 00:55:30,FRAUD,-83.72412670099999,42.25784310000006
200015118,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,3500 BLOCK STONE SCHOOL RD,ANN ARBOR,2020-05-09 23:26:00,TRESPASSING / INVASION OF PRIVACY,-83.71934649999997,42.23691980000007
200014154,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,600 BLOCK S MAIN ST,ANN ARBOR,2020-04-27 07:15:00,LARCENY - ALL OTHER,-83.74867340099996,42.27382030100006
200015158,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,800 BLOCK PACKARD ST,ANN ARBOR,2020-05-10 15:41:00,DAMAGE TO PROPERTY,-83.73838279999995,42.26842520000008
200015213,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,700 BLOCK SKYNOB DR,ANN ARBOR,2020-05-02 13:00:00,FRAUD,-83.69565400099998,42.28411100000005
200015209,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,2800 BLOCK RIDINGTON RD,ANN ARBOR,2020-05-04 12:00:00,FRAUD,-83.70858670099994,42.31656030000005
200014908,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,200 BLOCK FIELDCREST ST,ANN ARBOR,2020-05-07 02:19:00,DAMAGE TO PROPERTY,-83.75274869999998,42.25397510000005
200015208,ALL OTHER,5011,PAROLE VIOLATION,B,EB I94 & PLATT RD,ANN ARBOR,2020-05-11 14:02:00,OBSTRUCTING JUSTICE,-82.96676099899997,42.26025499900004
200015319,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,100 BLOCK E WILLIAM ST,ANN ARBOR,2020-05-12 19:00:00,ASSAULT - AGGRAVATED,-83.74767820099999,42.27842179900006
200015333,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,3500 BLOCK STONE SCHOOL RD,ANN ARBOR,2020-05-05 10:30:00,DAMAGE TO PROPERTY,-83.71934649999997,42.23691980000007
200015372,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,600 BLOCK SPRING ST,ANN ARBOR,2020-04-30 12:00:00,FRAUD,-83.75280159899995,42.286875200000054
201000177,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,100 BLOCK FIELDCREST ST,ANN ARBOR,2020-05-10 18:30:00,LARCENY - ALL OTHER,-83.75149389999996,42.25206670000006
201000176,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,2200 BLOCK FULLER COURT,ANN ARBOR,2020-05-11 13:07:30,LARCENY - ALL OTHER,-83.71767199999994,42.28551170000003
200015407,RUNAWAY,7070,RUNAWAY,B,3100 BLOCK HOMESTEAD COMMONS DR,ANN ARBOR,2020-05-14 02:15:00,MISSING PERSON / RUNAWAY,-83.71502059999995,42.24153539900004
200015412,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,2600 BLOCK ARROWWOOD TRL,ANN ARBOR,2020-05-13 21:59:30,FRAUD,-83.73481909899994,42.307609401000036
200015438,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,200 BLOCK N MAPLE,ANN ARBOR,2020-05-14 17:02:00,PUBLIC PEACE,-83.78035839899997,42.28120360100007
200015458,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3600 BLOCK PLYMOUTH RD,ANN ARBOR,2020-05-14 21:38:00,ASSAULT - SIMPLE,-83.69006070099994,42.30665510000006
201000179,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2100 BLOCK WINEWOOD AVE,ANN ARBOR,2020-05-06 09:00:00,DAMAGE TO PROPERTY,-83.77557439999998,42.277221000000054
201000187,ALL OTHER,5309,HARASSING COMMUNICATIONS,B,1500 BLOCK E STADIUM BLVD,ANN ARBOR,2020-05-14 16:54:00,PUBLIC PEACE,-83.72927340099994,42.26054190000008
200015504,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,400 BLOCK WAYMARKET DR,ANN ARBOR,2020-05-11 15:00:00,FRAUD,-83.75693089999999,42.24213890100003
201000184,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1200 BLOCK PROSPECT ST,ANN ARBOR,2020-05-13 21:22:00,LARCENY - ALL OTHER,-83.73404609999994,42.26740190100003
201000178,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,700 BLOCK PACKARD ST.,ANN ARBOR,2020-05-12 22:00:00,LARCENY - ALL OTHER,-83.73987669899998,42.26981110000003
201000183,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,300 BLOCK E JEFFERSON ST.,ANN ARBOR,2020-05-12 15:55:00,LARCENY - FROM AUTO (LFA),-83.74576899999994,42.27642380000003
200015483,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,3200 BLOCK BOARDWALK DR,ANN ARBOR,2020-05-15 01:55:00,DAMAGE TO PROPERTY,-83.73223569899994,42.24135090000004
200015443,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK N MAPLE RD,ANN ARBOR,2020-05-14 16:05:00,LARCENY - RETAIL FRAUD,-83.78156689899998,42.284853000000055
200015436,FAMILY OFFENSE NONVIOLENT,3806,NEGLECT CHILD,B,1500 BLOCK ARGYLE CRES,ANN ARBOR,2020-05-13 18:15:00,FAMILY OFFENSE,-83.77279559999994,42.29536400000006
200015570,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,900 BLOCK LOYOLA DR,ANN ARBOR,2020-05-16 04:00:00,DAMAGE TO PROPERTY,-83.76404379899998,42.29040180000004
200015574,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,2700 BLOCK RADCLIFFE AVE,ANN ARBOR,2020-05-16 11:06:00,FRAUD,-83.70453219899997,42.24679169900003
200015606,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,1500 BLOCK BRIARWOOD CIR,ANN ARBOR,2020-05-16 09:14:30,LARCENY - ALL OTHER,-83.75286379999994,42.23893779900004
200015591,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,2500 BLOCK EASY ST,ANN ARBOR,2020-05-16 15:00:00,PUBLIC PEACE,-83.70814440099997,42.24994490000006
200015644,WEAPON LAW VIOLATIONS,5299,WEAPONS OFFENSE (OTHER),A,3500 BLOCK PHEASANT RUN CIR,ANN ARBOR,2020-05-17 00:23:00,WEAPONS OFFENSE,-83.72195499899999,42.235029000000054
200015653,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3100 BLOCK AILSA CRAIG,ANN ARBOR,2020-05-11 18:00:00,ASSAULT - SIMPLE,-83.68707000099994,42.24043000000006
200015686,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,900 BLOCK LOYOLA DR,ANN ARBOR,2020-05-15 21:00:00,DAMAGE TO PROPERTY,-83.76379499999996,42.290426600000046
201000189,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,900 BLOCK CHURCH STREET,ANN ARBOR,2020-05-07 21:39:30,LARCENY - ALL OTHER,-83.73410839999997,42.270915401000025
200015690,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,2600 BLOCK PLYMOUTH RD,ANN ARBOR,2020-05-17 16:15:00,LARCENY - RETAIL FRAUD,-83.70911999999998,42.30459749900007
200015095,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1500 BLOCK PAULINE BLVD,ANN ARBOR,2020-05-09 13:05:00,LARCENY - ALL OTHER,-83.76585019999999,42.26840160000006
200015643,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3100 BLOCK AILSA CRAIG,ANN ARBOR,2020-05-16 18:00:00,ASSAULT - SIMPLE,-83.68707000099994,42.24043000000006
200015699,ALL OTHER,7385,NUISANCE ORD - ILLEGAL DUMPING,B,1100 BLOCK HILL ST,ANN ARBOR,2020-05-15 17:30:00,OTHER - ORDINANCE VIOLATIONS,-83.73497990099997,42.271845400000075
200015726,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,0 BLOCK CARROT WAY,ANN ARBOR,2020-05-18 02:00:00,DAMAGE TO PROPERTY,-83.72809049899996,42.31694490000007
200015737,INTIMIDATION,1316,INTIMIDATION (ALSO INCLUDES INTERFERING WITH 911 CALL),A,3800 BLOCK RESEARCH PARK DR,ANN ARBOR,2020-05-18 08:30:00,INTIMIDATION / STALKING,-83.73792629999997,42.232748800000024
200015726,ARSON,2099,ARSON (OTHER),A,0 BLOCK CARROT WAY,ANN ARBOR,2020-05-18 02:00:00,ARSON,-83.72809049899996,42.31694490000007
200015738,EXTORTION/BLACKMAIL,2199,EXTORTION (OTHER),A,1700 BLOCK W STADIUM BLVD,ANN ARBOR,2020-05-16 14:13:30,EXTORTION - BLACKMAIL,-83.76848210099996,42.26582580000007
200015774,EXTORTION/BLACKMAIL,2199,EXTORTION (OTHER),A,1300 BLOCK ASTOR AVE,ANN ARBOR,2020-04-28 11:20:00,EXTORTION - BLACKMAIL,-83.73272089999995,42.25776870000004
200015743,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,500 BLOCK E HURON ST,ANN ARBOR,2020-05-14 20:00:00,LARCENY - ALL OTHER,-83.74257389999997,42.28150420000003
