Reading Date,Rainfall (in.),
07/27/2020,0.00,
07/28/2020,0.00,
07/29/2020,0.26,
07/30/2020,0.00,
07/31/2020,0.00,
08/01/2020,0.05,
08/02/2020,0.66,
08/03/2020,0.00,
08/04/2020,0.02,
08/05/2020,0.00,
08/06/2020,0.00,
08/07/2020,0.00,
08/08/2020,0.00,
08/09/2020,0.00,
08/10/2020,0.00,
08/11/2020,0.00,
08/12/2020,0.00,
08/13/2020,0.00,
08/14/2020,0.00,
08/15/2020,0.06,
08/16/2020,0.00,
08/17/2020,0.00,
08/18/2020,0.00,
08/19/2020,0.00,
08/20/2020,0.00,
08/21/2020,0.00,
08/22/2020,0.00,
08/23/2020,0.00,
08/24/2020,0.00,
08/25/2020,0.00,
08/26/2020,0.07,
08/27/2020,0.00,
08/28/2020,1.37,
08/29/2020,0.78,
08/30/2020,0.00,
08/31/2020,0.00,
09/01/2020,0.13,
09/02/2020,0.00,
09/03/2020,0.00,
09/04/2020,0.03,
09/05/2020,0.00,
09/06/2020,0.00,
09/07/2020,0.16,
09/08/2020,1.34,
09/09/2020,0.00,
09/10/2020,0.00,
09/11/2020,0.00,
09/12/2020,0.00,
09/13/2020,0.26,
09/14/2020,0.00,
09/15/2020,0.00,
09/16/2020,0.00,
09/17/2020,0.00,
09/18/2020,0.00,
09/19/2020,0.00,
09/20/2020,0.00,
09/21/2020,0.00,
09/22/2020,0.00,
09/23/2020,0.00,
09/24/2020,0.00,
09/25/2020,0.00,
09/26/2020,0.00,
09/27/2020,0.00,
09/28/2020,0.12,
09/29/2020,0.00,
09/30/2020,0.20,
10/01/2020,0.13,
10/02/2020,0.00,
10/03/2020,0.00,
10/04/2020,0.05,
10/05/2020,0.00,
10/06/2020,0.00,
10/07/2020,0.00,
10/08/2020,0.00,
10/09/2020,0.00,
10/10/2020,0.00,
10/11/2020,0.00,
10/12/2020,0.30,
10/13/2020,0.00,
10/14/2020,0.00,
10/15/2020,0.00,
10/16/2020,0.00,
10/17/2020,0.00,
10/18/2020,0.16,
10/19/2020,0.10,
10/20/2020,0.05,
10/21/2020,0.20,
10/22/2020,0.34,
10/23/2020,0.30,
10/24/2020,0.00,
10/25/2020,0.00,
10/26/2020,0.00,
10/27/2020,0.10,
10/28/2020,0.00,
10/29/2020,0.00,
10/30/2020,0.00,
10/31/2020,0.00,
11/01/2020,0.03,
11/02/2020,0.00,
11/03/2020,0.00,
11/04/2020,0.00,
11/05/2020,0.00,
11/06/2020,0.00,
11/07/2020,0.00,
11/08/2020,0.00,
11/09/2020,0.00,
11/10/2020,0.11,
11/11/2020,0.01,
11/12/2020,0.00,
11/13/2020,0.00,
11/14/2020,0.01,
11/15/2020,0.66,
11/16/2020,0.00,
11/17/2020,0.00,
11/18/2020,0.06,
11/19/2020,0.00,
11/20/2020,0.00,
11/21/2020,0.00,
11/22/2020,0.33,
11/23/2020,0.01,
11/24/2020,0.14,
11/25/2020,0.27,
11/26/2020,0.01,
11/27/2020,0.00,
11/28/2020,0.00,
11/29/2020,0.00,
11/30/2020,0.02,
12/01/2020,0.00,
12/02/2020,0.00,
12/03/2020,0.00,
12/04/2020,0.00,
12/05/2020,0.00,
12/06/2020,0.00,
12/07/2020,0.00,
12/08/2020,0.00,
12/09/2020,0.00,
12/10/2020,0.00,
12/11/2020,0.00,
12/12/2020,0.53,
12/13/2020,0.00,
12/14/2020,0.00,
12/15/2020,0.00,
12/16/2020,0.00,
12/17/2020,0.00,
12/18/2020,0.00,
12/19/2020,0.00,
12/20/2020,0.00,
12/21/2020,0.00,
12/22/2020,0.00,
12/23/2020,0.02,
12/24/2020,0.04,
12/25/2020,0.00,
12/26/2020,0.00,
12/27/2020,0.02,
12/28/2020,0.03,
12/29/2020,0.01,
12/30/2020,0.04,
12/31/2020,0.00,
01/01/2021,0.13,
01/02/2021,0.01,
01/03/2021,0.17,
01/04/2021,0.00,
01/05/2021,0.00,
01/06/2021,0.00,
01/07/2021,0.00,
01/08/2021,0.00,
01/09/2021,0.00,
01/10/2021,0.00,
01/11/2021,0.00,
01/12/2021,0.00,
01/13/2021,0.00,
01/14/2021,0.00,
01/15/2021,0.27,
01/16/2021,0.00,
01/17/2021,0.00,
01/18/2021,0.00,
01/19/2021,0.00,
01/20/2021,0.00,
01/21/2021,0.00,
01/22/2021,0.00,
01/23/2021,0.00,
01/24/2021,0.00,
01/25/2021,0.00,
01/26/2021,0.06,
01/27/2021,0.00,
01/28/2021,0.00,
01/29/2021,0.00,
01/30/2021,0.00,
01/31/2021,0.01,
02/01/2021,0.00,
02/02/2021,0.00,
02/03/2021,0.00,
02/04/2021,0.17,
02/05/2021,0.01,
02/06/2021,0.00,
02/07/2021,0.00,
02/08/2021,0.00,
02/09/2021,0.00,
02/10/2021,0.00,
02/11/2021,0.00,
02/12/2021,0.00,
02/13/2021,0.00,
02/14/2021,0.00,
02/15/2021,0.03,
02/16/2021,0.03,
02/17/2021,0.00,
02/18/2021,0.00,
02/19/2021,0.00,
02/20/2021,0.00,
02/21/2021,0.01,
02/22/2021,0.07,
02/23/2021,0.00,
02/24/2021,0.00,
02/25/2021,0.00,
02/26/2021,0.00,
02/27/2021,0.01,
02/28/2021,0.00,
03/01/2021,0.00,
03/02/2021,0.00,
03/03/2021,0.00,
03/04/2021,0.00,
03/05/2021,0.01,
03/06/2021,0.00,
03/07/2021,0.00,
03/08/2021,0.00,
03/09/2021,0.00,
03/10/2021,0.00,
03/11/2021,0.00,
03/12/2021,0.00,
03/13/2021,0.00,
03/14/2021,0.00,
03/15/2021,0.00,
03/16/2021,0.00,
03/17/2021,0.00,
03/18/2021,0.00,
03/19/2021,0.00,
03/20/2021,0.00,
03/21/2021,0.00,
03/22/2021,0.00,
03/23/2021,0.00,
03/24/2021,0.00,
03/25/2021,0.24,
03/26/2021,0.77,
03/27/2021,0.25,
03/28/2021,0.27,
03/29/2021,0.00,
03/30/2021,0.01,
03/31/2021,0.05,
04/01/2021,0.00,
04/02/2021,0.00,
04/03/2021,0.00,
04/04/2021,0.00,
04/05/2021,0.28,
04/06/2021,0.00,
04/07/2021,0.00,
04/08/2021,0.16,
04/09/2021,0.00,
04/10/2021,0.61,
04/11/2021,0.36,
04/12/2021,0.01,
04/13/2021,0.05,
04/14/2021,0.00,
04/15/2021,0.03,
04/16/2021,0.00,
04/17/2021,0.00,
04/18/2021,0.00,
04/19/2021,0.00,
04/20/2021,0.13,
04/21/2021,0.00,
04/22/2021,0.00,
04/23/2021,0.00,
04/24/2021,0.01,
04/25/2021,0.01,
04/26/2021,0.00,
04/27/2021,0.00,
04/28/2021,0.00,
04/29/2021,0.23,
